Tanggal,tgl,Value,Status,Color,Persentase
1,1,96.39097744,Mod,#5BA3CF,45.16%
2,2,85.31328321,Mod,#5BA3CF,45.16%
3,3,160.6526316,UH,#2978B8,51.61%
4,4,106.3263158,UH,#2978B8,51.61%
5,5,127.5052632,UH,#2978B8,51.61%
6,6,140.0947368,UH,#2978B8,51.61%
7,7,100.6421053,UH,#2978B8,51.61%
8,8,157.42,UH,#2978B8,51.61%
9,9,64.0726817,Mod,#5BA3CF,45.16%
10,10,65.55137845,Mod,#5BA3CF,45.16%
11,11,82.6566416,Mod,#5BA3CF,45.16%
12,12,97.81954887,Mod,#5BA3CF,45.16%
13,13,82.88220551,Mod,#5BA3CF,45.16%
14,14,96.06516291,Mod,#5BA3CF,45.16%
15,15,120.02,UH,#2978B8,51.61%
16,16,108.6947368,UH,#2978B8,51.61%
17,17,284.07,VUH,#9CC8E2,3.23%
18,18,109.2210526,UH,#2978B8,51.61%
19,19,119.9263158,UH,#2978B8,51.61%
20,20,95.70175439,Mod,#5BA3CF,45.16%
21,21,86.4160401,Mod,#5BA3CF,45.16%
22,22,104.5157895,UH,#2978B8,51.61%
23,23,108.2315789,UH,#2978B8,51.61%
24,24,105.9578947,UH,#2978B8,51.61%
25,25,121.9789474,UH,#2978B8,51.61%
26,26,196.9157895,UH,#2978B8,51.61%
27,27,92.06766917,Mod,#5BA3CF,45.16%
28,28,96.66666667,Mod,#5BA3CF,45.16%
29,29,88.39598997,Mod,#5BA3CF,45.16%
30,30,95.95238095,Mod,#5BA3CF,45.16%
31,31,111.5157895,UH,#2978B8,51.61%
