Tanggal,tgl,Value,Status,Color,Persentase
1,1,80.51378446,Mod,#86BCDC,25.81%
2,2,82.21804511,Mod,#86BCDC,25.81%
3,3,106.2421053,UH,#3887C0,74.19%
4,4,109.2421053,UH,#3887C0,74.19%
5,5,77.49373434,Mod,#86BCDC,25.81%
6,6,80.98947368,Mod,#86BCDC,25.81%
7,7,186.5578947,UH,#3887C0,74.19%
8,8,158.2631579,UH,#3887C0,74.19%
9,9,144.1157895,UH,#3887C0,74.19%
10,10,191.0842105,UH,#3887C0,74.19%
11,11,178.09,UH,#3887C0,74.19%
12,12,186.1,UH,#3887C0,74.19%
13,13,129.9263158,UH,#3887C0,74.19%
14,14,130.5368421,UH,#3887C0,74.19%
15,15,135.2315789,UH,#3887C0,74.19%
16,16,124.1894737,UH,#3887C0,74.19%
17,17,232.61,UH,#3887C0,74.19%
18,18,71.9047619,Mod,#86BCDC,25.81%
19,19,86.76691729,Mod,#86BCDC,25.81%
20,20,111.9684211,UH,#3887C0,74.19%
21,21,164.1684211,UH,#3887C0,74.19%
22,22,172.3,UH,#3887C0,74.19%
23,23,176.5368421,UH,#3887C0,74.19%
24,24,92.96992481,Mod,#86BCDC,25.81%
25,25,187.0947368,UH,#3887C0,74.19%
26,26,122.0842105,UH,#3887C0,74.19%
27,27,164.9473684,UH,#3887C0,74.19%
28,28,164.7157895,UH,#3887C0,74.19%
29,29,123.7473684,UH,#3887C0,74.19%
30,30,84.61152882,Mod,#86BCDC,25.81%
31,31,175.0842105,UH,#3887C0,74.19%
