Tanggal,tgl,Value,Status,Color,Persentase
1,1,201.98,Sngt Tdk Sehat,#CA0B22,16.13%
2,2,91.68,  Sedang,#4A74B4,12.90%
3,3,100.25,  Sedang,#4A74B4,12.90%
4,4,102.57, Tidak Sehat,#ECC31E,70.97%
5,5,107.56, Tidak Sehat,#ECC31E,70.97%
6,6,105.41, Tidak Sehat,#ECC31E,70.97%
7,7,110.34, Tidak Sehat,#ECC31E,70.97%
8,8,92.94,  Sedang,#4A74B4,12.90%
9,9,110.93, Tidak Sehat,#ECC31E,70.97%
10,10,222.89,Sngt Tdk Sehat,#CA0B22,16.13%
11,11,97.63,  Sedang,#4A74B4,12.90%
12,12,141.89, Tidak Sehat,#ECC31E,70.97%
13,13,118.83, Tidak Sehat,#ECC31E,70.97%
14,14,117.05, Tidak Sehat,#ECC31E,70.97%
15,15,123.54, Tidak Sehat,#ECC31E,70.97%
16,16,124.04, Tidak Sehat,#ECC31E,70.97%
17,17,108.72, Tidak Sehat,#ECC31E,70.97%
18,18,118.28, Tidak Sehat,#ECC31E,70.97%
19,19,257.16,Sngt Tdk Sehat,#CA0B22,16.13%
20,20,163.96, Tidak Sehat,#ECC31E,70.97%
21,21,178.43, Tidak Sehat,#ECC31E,70.97%
22,22,110.87, Tidak Sehat,#ECC31E,70.97%
23,23,112.43, Tidak Sehat,#ECC31E,70.97%
24,24,226.98,Sngt Tdk Sehat,#CA0B22,16.13%
25,25,299.85,Sngt Tdk Sehat,#CA0B22,16.13%
26,26,125.62, Tidak Sehat,#ECC31E,70.97%
27,27,139.07, Tidak Sehat,#ECC31E,70.97%
28,28,105.33, Tidak Sehat,#ECC31E,70.97%
29,29,117.89, Tidak Sehat,#ECC31E,70.97%
30,30,125.15, Tidak Sehat,#ECC31E,70.97%
31,31,132.52, Tidak Sehat,#ECC31E,70.97%
