Lintang,Bujur,CO,NO,NO2,O3,SO2,PM2_5,PM10,NH3,Date
-2.9831,104.7527,707.63,1.17,14.91,8.14,6.79,43.31,54.88,3.2,2023-08-01
-2.9831,104.7527,867.84,5.2,14.57,15.38,8.7,51.31,63.56,3.67,2023-08-01
-2.9831,104.7527,821.11,5.25,13.19,31.47,8.94,52.52,65.07,3.8,2023-08-01
-2.9831,104.7527,634.19,2.18,9.94,63.66,7.87,50.78,63.04,3.8,2023-08-01
-2.9831,104.7527,377.18,0.59,3.68,77.96,4.23,29.28,37.87,1.87,2023-08-01
-2.9831,104.7527,337.12,0.49,2.96,77.25,3.78,23.66,30.75,1.49,2023-08-01
-2.9831,104.7527,323.77,0.44,2.74,77.96,3.67,21.2,27.4,1.31,2023-08-01
-2.9831,104.7527,330.45,0.49,3.34,80.11,4.11,19.96,25.57,1.42,2023-08-01
-2.9831,104.7527,333.79,0.51,4.03,75.1,4.41,18.3,23.28,1.55,2023-08-01
-2.9831,104.7527,327.11,0.49,4.76,62.23,4.35,14.71,18.84,1.6,2023-08-01
-2.9831,104.7527,560.76,1.33,13.37,38.98,6.91,16.23,20.82,3.51,2023-08-01
-2.9831,104.7527,947.95,2.1,25.36,13.05,9.78,23.29,29.21,4.69,2023-08-01
-2.9831,104.7527,1255.04,6.82,26.05,0.75,11.09,33.18,40.38,4.75,2023-08-01
-2.9831,104.7527,1228.33,10.28,18.16,0.1,10.25,36.91,44.33,4.75,2023-08-01
-2.9831,104.7527,1001.36,7.82,13.71,0.24,8.23,32.79,40.73,4.05,2023-08-01
-2.9831,104.7527,834.47,5.14,12.17,0.59,6.85,28.95,37.48,3.64,2023-08-01
-2.9831,104.7527,734.33,4.02,11.14,0.83,5.96,25.69,35.17,3.13,2023-08-01
-2.9831,104.7527,587.46,3.32,9.42,0.89,4.77,19.96,29.92,2.03,2023-08-01
-2.9831,104.7527,447.27,2.24,7.63,1.26,3.87,15.74,25.35,1.66,2023-08-01
-2.9831,104.7527,400.54,1.93,6.85,1.26,3.78,15.12,23.93,1.68,2023-08-01
-2.9831,104.7527,400.54,2.26,6.77,0.88,4.05,16.15,24.73,1.76,2023-08-01
-2.9831,104.7527,417.23,2.88,6.77,0.55,4.29,17.36,25.67,1.82,2023-08-01
-2.9831,104.7527,433.92,3.58,6.94,0.36,4.47,18.18,26.2,1.82,2023-08-01
-2.9831,104.7527,480.65,4.47,7.37,0.31,4.83,19.11,26.95,1.96,2023-08-01
-2.9831,104.7527,654.22,6.54,9.08,0.5,6.2,23.76,32.3,2.98,2023-08-02
-2.9831,104.7527,807.76,7.82,12.51,2.79,8.23,29.04,39.14,3.45,2023-08-02
-2.9831,104.7527,867.84,7.71,15.42,4.96,9.89,34.2,46.13,3.83,2023-08-02
-2.9831,104.7527,694.27,3.58,16.79,9.75,9.54,35,47.68,3.89,2023-08-02
-2.9831,104.7527,447.27,0.22,7.71,57.94,4.89,43.68,51.53,1.44,2023-08-02
-2.9831,104.7527,403.88,0.14,5.27,59.37,3.87,36.99,41.07,1.09,2023-08-02
-2.9831,104.7527,363.83,0.13,4.54,50.07,3.34,25.63,27.95,1,2023-08-02
-2.9831,104.7527,350.48,0.16,5.74,40.41,3.93,17.79,19.38,1.23,2023-08-02
-2.9831,104.7527,353.81,0.14,7.2,32.9,4.71,14.74,16.1,1.5,2023-08-02
-2.9831,104.7527,357.15,0.1,7.88,27.18,4.77,12.98,14.2,1.58,2023-08-02
-2.9831,104.7527,507.35,0.24,13.37,17.52,5.9,14.33,16.15,2.56,2023-08-02
-2.9831,104.7527,754.36,1.66,19.71,5.68,7.51,18.11,21.29,3.67,2023-08-02
-2.9831,104.7527,907.9,4.64,19.36,1.21,8.23,22.47,27.28,4.43,2023-08-02
-2.9831,104.7527,814.44,4.36,15.25,1.17,6.97,20.95,26.43,3.99,2023-08-02
-2.9831,104.7527,594.14,1.87,11.82,3.13,5.36,15.09,19.77,2.94,2023-08-02
-2.9831,104.7527,433.92,0.55,9.08,7.69,4.47,10.11,13.68,2.18,2023-08-02
-2.9831,104.7527,330.45,0.18,6.94,12.34,3.81,6.84,9.53,1.52,2023-08-02
-2.9831,104.7527,300.41,0.17,6.51,11.98,3.52,6.19,8.79,1.11,2023-08-02
-2.9831,104.7527,273.7,0.16,5.83,11.44,3.31,6.2,8.76,1.03,2023-08-02
-2.9831,104.7527,273.7,0.2,6.08,10.01,3.52,6.97,9.54,1.14,2023-08-02
-2.9831,104.7527,283.72,0.29,6.51,8.05,3.78,7.85,10.52,1.25,2023-08-02
-2.9831,104.7527,293.73,0.43,6.85,6.26,3.99,8.74,11.51,1.36,2023-08-02
-2.9831,104.7527,303.75,0.66,7.28,4.65,4.35,9.36,12.23,1.46,2023-08-02
-2.9831,104.7527,337.12,1.12,8.4,3.35,5.19,10.47,13.68,1.73,2023-08-02
-2.9831,104.7527,480.65,2.26,11.14,2.95,6.85,15.55,19.85,2.69,2023-08-03
-2.9831,104.7527,587.46,2.6,12.34,10.55,7.57,23.88,29.53,2.6,2023-08-03
-2.9831,104.7527,587.46,1.4,11.65,25.39,7.21,33.56,40.07,2.09,2023-08-03
-2.9831,104.7527,527.38,0.43,9.51,41.13,6.74,43.19,49.37,1.69,2023-08-03
