Lintang,Bujur,CO,NO,NO2,O3,SO2,PM2_5,PM10,NH3,Date
-2.9831,104.7527,1174.93,15.65,6.51,0.13,8.46,34.61,38.69,5.13,2023-12-01
-2.9831,104.7527,1695.63,23.92,11.48,1.14,11.68,47.93,53.75,6.78,2023-12-01
-2.9831,104.7527,2056.12,22.13,24.33,5.36,13.35,58.58,65.33,6.65,2023-12-01
-2.9831,104.7527,2162.93,10.73,38.73,26.11,14.07,67.24,74.69,6.27,2023-12-01
-2.9831,104.7527,1228.33,2.43,24.33,80.11,14.31,38.01,41.85,3.58,2023-12-01
-2.9831,104.7527,1028.06,1.13,17.65,100.14,13.11,31.82,34.79,3.32,2023-12-01
-2.9831,104.7527,934.6,0.75,14.57,104.43,11.92,28.17,31.02,3.2,2023-12-01
-2.9831,104.7527,1094.82,0.96,19.02,90.84,12.28,31.64,35.13,4.37,2023-12-01
-2.9831,104.7527,1535.42,1.61,30.16,80.11,14.9,45.42,50.25,6.21,2023-12-01
-2.9831,104.7527,2029.42,1.98,43.18,70.1,18.6,60.2,66.25,8.74,2023-12-01
-2.9831,104.7527,2483.37,1.79,60.32,51.5,22.89,72.98,80.43,11.15,2023-12-01
-2.9831,104.7527,3044.13,0.58,74.03,21.28,24.32,87.45,96.18,10.39,2023-12-01
-2.9831,104.7527,3204.35,1.56,69.23,5.19,21.46,92.59,102.25,8.49,2023-12-01
-2.9831,104.7527,3017.43,5.2,54.84,0.65,17.17,88.1,98.35,7.22,2023-12-01
-2.9831,104.7527,2723.69,9.28,40.44,0.06,14.31,82.91,93.04,7.47,2023-12-01
-2.9831,104.7527,2403.26,12.96,28.1,0.02,12.87,75.97,85.52,8.36,2023-12-01
-2.9831,104.7527,2136.23,17.43,19.36,0,12.16,67.84,76.69,8.99,2023-12-01
-2.9831,104.7527,1949.31,21.46,14.74,0,11.56,59.76,67.33,8.23,2023-12-01
-2.9831,104.7527,1735.69,23.02,12.68,0,11.56,53.5,59.78,8.49,2023-12-01
-2.9831,104.7527,1441.96,21.23,10.62,0,10.85,45.26,50.39,8.36,2023-12-01
-2.9831,104.7527,1148.22,17.43,8.4,0,8.11,35.62,39.52,5.57,2023-12-01
-2.9831,104.7527,921.25,13.52,7.8,0,6.5,28.25,31.04,3.51,2023-12-01
-2.9831,104.7527,801.09,10.84,8.31,0.01,5.84,23.98,25.99,2.47,2023-12-01
-2.9831,104.7527,754.36,9.5,8.48,0.01,5.66,22.24,24.09,2.34,2023-12-01
-2.9831,104.7527,834.47,9.83,9.25,0.23,6.5,23.52,25.82,3.23,2023-12-02
-2.9831,104.7527,907.9,7.82,14.91,3.89,8.46,22.95,25.4,3.51,2023-12-02
-2.9831,104.7527,1028.06,4.92,21.08,22.53,10.49,25.74,28.8,4.43,2023-12-02
-2.9831,104.7527,1068.12,2.26,19.88,71.53,11.8,28.25,31.54,5.13,2023-12-02
-2.9831,104.7527,700.95,0.7,7.45,91.55,6.68,16.66,18.26,2.82,2023-12-02
-2.9831,104.7527,620.84,0.45,4.63,98.71,5.01,13.59,14.73,2.12,2023-12-02
-2.9831,104.7527,587.46,0.39,3.64,100.14,4.11,11.98,13.07,1.74,2023-12-02
-2.9831,104.7527,587.46,0.41,4.11,98.71,4.29,12.09,13.24,1.76,2023-12-02
-2.9831,104.7527,607.49,0.39,6.08,92.98,5.42,13.36,14.65,2.03,2023-12-02
-2.9831,104.7527,607.49,0.2,8.05,75.1,5.78,12.19,13.51,1.93,2023-12-02
-2.9831,104.7527,814.44,0.04,16.45,42.56,6.97,14.89,16.95,2.66,2023-12-02
-2.9831,104.7527,1241.68,0.65,29.47,13.05,9.18,24,27.75,4.02,2023-12-02
-2.9831,104.7527,1615.52,4.75,31.87,1.65,10.61,36.85,42.58,5.76,2023-12-02
-2.9831,104.7527,1642.23,7.82,25.7,0.35,10.25,43.4,50.7,6.59,2023-12-02
-2.9831,104.7527,1468.66,6.65,22.62,0.38,9.54,43.01,49.55,5.76,2023-12-02
-2.9831,104.7527,1361.85,4.97,23.99,0.51,10.01,41.69,46.48,4.88,2023-12-02
-2.9831,104.7527,1321.79,4.3,27.42,0.51,10.85,39.51,42.84,3.93,2023-12-02
-2.9831,104.7527,1268.39,3.74,28.45,0.59,10.49,36.09,38.58,2.75,2023-12-02
