Lintang,Bujur,CO,NO,NO2,O3,SO2,PM2_5,PM10,NH3,Unix,Date
-2.9831,104.7527,547.41,2.01,8.14,26.11,5.66,25.75,32.94,4.05,"1,696,208,400.00",2023-10-02
-2.9831,104.7527,494,2.04,6.6,40.77,5.54,19,26.38,4.02,"1,696,212,000.00",2023-10-02
-2.9831,104.7527,433.92,1.06,5.06,71.53,5.48,17.83,25.59,3.67,"1,696,215,600.00",2023-10-02
-2.9831,104.7527,433.92,0.42,3.08,101.57,3.37,21.35,26.36,2.28,"1,696,219,200.00",2023-10-02
-2.9831,104.7527,460.62,0.34,3.26,111.58,3.07,22.73,26.8,2.15,"1,696,222,800.00",2023-10-02
-2.9831,104.7527,467.3,0.29,3.98,111.58,2.89,21.37,24.83,2.47,"1,696,226,400.00",2023-10-02
-2.9831,104.7527,507.35,0.39,7.54,105.86,4.47,21.61,24.9,3.58,"1,696,230,000.00",2023-10-02
-2.9831,104.7527,554.08,0.48,11.65,94.41,6.68,21.2,24.86,4.5,"1,696,233,600.00",2023-10-02
-2.9831,104.7527,580.79,0.41,14.39,79.39,7.87,20.01,24.05,4.88,"1,696,237,200.00",2023-10-02
-2.9831,104.7527,614.17,0.19,16.62,68.66,7.99,22.05,26.29,5,"1,696,240,800.00",2023-10-02
-2.9831,104.7527,674.25,0.01,16.62,70.81,7.33,34.8,39.21,5.57,"1,696,244,400.00",2023-10-02
-2.9831,104.7527,674.25,0,12.51,74.39,6.14,38.66,43.07,5.51,"1,696,248,000.00",2023-10-02
-2.9831,104.7527,540.73,0,7.97,58.65,4.59,25.79,29.83,4.12,"1,696,251,600.00",2023-10-02
-2.9831,104.7527,480.65,0,6.68,47.92,3.99,20.29,24.06,3.36,"1,696,255,200.00",2023-10-02
-2.9831,104.7527,480.65,0,6.43,53.64,3.87,22.58,26.31,3.2,"1,696,258,800.00",2023-10-02
-2.9831,104.7527,494,0,6.43,58.65,3.87,27.08,31.2,2.79,"1,696,262,400.00",2023-10-02
-2.9831,104.7527,467.3,0,5.74,61.51,3.58,29.9,34.29,2.22,"1,696,266,000.00",2023-10-02
-2.9831,104.7527,460.62,0,5.4,62.94,3.76,33.76,38.62,2.34,"1,696,269,600.00",2023-10-02
-2.9831,104.7527,460.62,0,6.43,50.07,3.99,31.11,36.61,3.2,"1,696,273,200.00",2023-10-02
-2.9831,104.7527,410.56,0,6.85,32.9,3.61,21.79,27.49,3.67,"1,696,276,800.00",2023-10-02
-2.9831,104.7527,357.15,0.01,6.25,28.61,3.28,15.08,20.42,3.26,"1,696,280,400.00",2023-10-02
-2.9831,104.7527,320.43,0,5.44,32.19,3.07,11.65,16.46,2.63,"1,696,284,000.00",2023-10-02
-2.9831,104.7527,310.42,0,5.57,35.41,3.31,9.73,14.11,2.41,"1,696,287,600.00",2023-10-02
-2.9831,104.7527,353.81,0.21,6.85,36.84,3.93,9.36,13.6,2.98,"1,696,291,200.00",2023-10-03
-2.9831,104.7527,383.85,1.27,6.08,43.27,4.11,8.82,13.06,3.23,"1,696,294,800.00",2023-10-03
-2.9831,104.7527,380.52,1.26,5.01,60.08,3.99,8.97,13.23,3.23,"1,696,298,400.00",2023-10-03
